id	at_bats	hits
0	323	47
1	35	10
2	34	10
3	317	94
4	254	93
5	339	71
6	275	100
7	318	124
8	306	103
9	33	8
10	288	80
11	10	3
12	321	69
13	19	9
14	290	147
15	42	4
16	23	1
17	333	84
18	278	115
19	333	141
20	326	153
21	34	16
22	238	82
23	251	62
24	256	49
25	296	94
26	32	14
27	277	92
28	312	55
29	336	95
30	319	106
31	320	34
32	288	87
33	325	66
34	46	11
35	317	100
36	41	13
37	303	107
38	340	110
39	282	133
40	308	81
41	263	54
42	285	82
43	234	69
44	45	16
45	251	62
46	351	59
47	296	81
48	304	114
49	300	121
50	271	87
51	246	55
52	27	9
53	316	105
54	313	55
55	262	82
56	353	98
57	337	71
58	335	94
59	352	95
60	259	80
61	258	78
62	323	37
63	264	51
64	323	94
65	324	163
66	345	122
67	331	84
68	271	38
69	307	18
70	291	72
71	258	106
72	227	43
73	226	59
74	29	16
75	360	156
76	308	122
77	307	102
78	291	109
79	17	5
80	268	39
81	252	100
82	303	113
83	306	111
84	40	16
85	277	49
86	320	46
87	284	118
88	310	97
89	311	91
90	325	83
91	287	77
92	324	91
93	372	23
94	293	44
95	297	143
96	299	39
97	46	16
98	44	12
99	16	6
100	378	110
101	282	104
102	321	73
103	309	25
104	257	120
105	298	75
106	293	84
107	360	66
108	317	90
109	302	115
110	302	51
111	313	77
112	291	91
113	310	123
114	312	52
115	269	122
116	355	68
117	291	135
118	283	60
119	297	78
120	328	104
121	351	100
122	319	59
123	319	36
124	277	76
125	16	6
126	312	130
127	317	56
128	325	71
129	26	12
130	293	116
131	277	115
132	326	90
133	307	57
134	314	38
135	301	168
136	314	133
137	33	3
138	25	10
139	36	18
140	350	143
141	337	91
142	304	88
143	19	11
144	298	88
145	30	6
146	345	120
147	261	49
148	342	56
149	316	152
150	244	24
151	283	65
152	46	12
153	326	68
154	16	5
155	24	5
156	321	146
157	275	121
158	253	77
159	322	81
160	300	114
161	266	67
162	209	89
163	298	115
164	325	130
165	291	127
166	293	69
167	327	70
168	285	59
169	312	69
170	295	93
171	28	8
172	288	51
173	29	5
174	319	68
175	304	76
176	337	153
177	298	121
178	290	93
179	279	124
180	18	3
181	341	92
182	290	107
183	355	121
184	21	9
185	280	97
186	290	113
187	298	127
188	347	33
189	315	80
190	342	96
191	297	44
192	322	138
193	302	128
194	273	36
195	335	30
196	339	101
197	333	110
198	328	55
199	300	14
200	286	105
201	289	55
202	315	98
203	323	104
204	292	80
205	296	35
206	302	114
207	338	151
208	275	98
209	331	80
210	344	121
211	308	71
212	242	77
213	325	122
214	309	109
215	274	88
216	276	95
217	323	140
218	305	94
219	301	62
220	37	12
221	25	11
222	261	42
223	281	95
224	264	31
225	250	101
226	287	112
227	14	3
228	298	120
229	36	7
230	270	78
231	286	71
232	25	7
233	264	75
234	343	66
235	50	6
236	26	13
237	268	86
238	289	88
239	307	107
240	292	76
241	224	63
242	269	84
243	40	16
244	302	89
245	309	88
246	280	99
247	308	95
248	242	63
249	283	121
250	305	118
251	271	70
252	261	87
253	34	18
254	274	75
255	26	7
256	311	85
257	300	55
258	292	112
259	35	10
260	291	136
261	287	63
262	301	127
263	14	1
264	328	45
265	286	38
266	338	56
267	320	90
268	314	37
269	288	105
270	342	139
271	33	10
272	33	7
273	301	86
274	266	147
275	288	57
276	301	118
277	301	64
278	360	83
279	302	53
280	299	107
281	272	149
282	279	53
283	27	5
284	267	97
285	31	9
286	319	123
287	328	130
288	315	90
289	304	114
290	300	44
291	306	20
292	304	152
293	334	128
294	282	89
295	25	4
296	267	54
297	21	7
298	340	29
299	338	100
300	302	145
301	242	102
302	286	83
303	336	62
304	254	106
305	301	85
306	301	73
307	20	10
308	344	128
309	340	68
310	292	65
311	312	67
312	360	83
313	299	85
314	312	125
315	241	61
316	305	85
317	22	12
318	334	80
319	397	118
320	264	151
321	257	98
322	289	91
323	282	49
324	252	85
325	45	20
326	264	38
327	364	183
328	301	73
329	286	74
330	329	82
331	305	145
332	286	69
333	284	80
334	361	156
335	306	107
336	40	18
337	20	8
338	316	118
339	326	142
340	274	113
341	281	88
342	297	109
343	292	92
344	33	14
345	382	66
346	26	8
347	351	78
348	335	122
349	350	136
350	311	76
351	316	92
352	333	75
353	275	72
354	328	84
355	274	83
356	302	118
357	312	40
358	311	105
359	283	105
360	320	124
361	330	86
362	21	1
363	31	15
364	330	56
365	385	104
366	334	99
367	268	73
368	318	132
369	345	49
370	31	13
371	43	20
372	18	8
373	287	71
374	289	66
375	326	116
376	44	22
377	332	109
378	43	18
379	304	58
380	344	117
381	319	85
382	265	61
383	344	141
384	272	70
385	273	84
386	223	68
387	339	150
388	29	4
389	319	75
390	29	1
391	335	95
392	338	104
393	309	50
394	325	142
395	19	2
396	37	10
397	240	55
398	265	106
399	49	17
400	293	81
401	352	54
402	19	11
403	299	68
404	241	78
405	293	60
406	268	114
407	371	71
408	318	159
409	282	112
410	277	47
411	341	95
412	353	124
413	281	104
414	320	97
415	339	132
416	269	77
417	322	102
418	33	4
419	320	84
420	30	10
421	355	138
422	42	19
423	329	104
424	328	110
425	307	95
426	301	70
427	307	89
428	260	54
429	26	4
430	307	104
431	302	135
432	272	84
433	337	80
434	46	13
435	281	82
436	329	98
437	343	112
438	304	73
439	271	100
440	321	93
441	36	12
442	306	102
443	245	98
444	333	83
445	326	79
446	242	38
447	292	90
448	274	69
449	26	6
450	324	93
451	331	100
452	57	13
453	239	71
454	295	150
455	43	15
456	352	118
457	251	64
458	271	38
459	281	52
460	333	100
461	329	56
462	299	150
463	321	65
464	24	4
465	244	60
466	351	88
467	331	105
468	282	93
469	254	80
470	292	72
471	262	72
472	321	79
473	279	56
474	298	84
475	265	50
476	300	74
477	329	148
478	317	87
479	306	122
480	287	22
481	296	32
482	327	123
483	329	114
484	313	138
485	305	33
486	38	14
487	377	89
488	282	94
489	31	4
490	207	74
491	275	133
492	274	104
493	289	103
494	338	17
495	36	11
496	316	99
497	330	90
498	341	87
499	281	104
500	24	3
501	322	121
502	342	66
503	332	33
504	296	103
505	321	31
506	309	116
507	24	3
508	316	70
509	326	64
510	287	102
511	300	82
512	321	126
513	377	88
514	316	71
515	303	64
516	334	120
517	279	71
518	292	29
519	321	89
520	313	82
521	293	82
522	299	91
523	279	56
524	308	100
525	21	5
526	276	62
527	42	20
528	291	80
529	276	105
530	259	70
531	319	112
532	266	103
533	34	7
534	281	30
535	353	123
536	335	124
537	248	28
538	276	115
539	26	4
540	298	78
541	24	7
542	260	30
543	308	132
544	324	147
545	280	52
546	350	43
547	318	121
548	275	91
549	316	79
550	287	67
551	285	47
552	367	135
553	264	87
554	280	66
555	294	80
556	338	102
557	328	67
558	33	11
559	298	108
560	318	122
561	326	95
562	315	83
563	309	55
564	288	100
565	308	56
566	302	94
567	312	81
568	376	65
569	275	75
570	300	122
571	271	136
572	344	119
573	244	76
574	259	108
575	376	82
576	307	68
577	309	15
578	350	93
579	297	92
580	286	75
581	42	7
582	352	126
583	312	127
584	24	8
585	10	3
586	297	75
587	305	134
588	312	126
589	348	157
590	277	97
591	31	3
592	317	60
593	317	124
594	250	27
595	329	96
596	332	78
597	285	49
598	282	105
599	322	90
600	332	149
601	298	99
602	326	82
603	27	7
604	289	92
605	42	13
606	26	5
607	40	11
608	350	65
609	296	144
610	41	6
611	308	87
612	327	88
613	324	126
614	344	103
615	264	113
616	312	125
617	325	120
618	305	73
619	348	123
620	291	68
621	322	96
622	287	79
623	297	13
624	10	6
625	267	74
626	332	92
627	23	8
628	290	96
629	308	79
630	295	98
631	344	158
632	38	11
633	18	1
634	306	89
635	308	39
636	314	62
637	301	85
638	8	1
639	27	3
640	18	2
641	41	9
642	323	66
643	30	15
644	302	102
645	270	88
646	352	74
647	279	109
648	303	63
649	261	119
650	271	49
651	321	113
652	331	83
653	383	146
654	268	26
655	241	48
656	312	82
657	295	118
658	249	108
659	253	105
660	29	18
661	310	114
662	301	60
663	242	91
664	335	116
665	34	14
666	231	28
667	38	3
668	301	123
669	290	58
670	335	116
671	281	109
672	41	20
673	25	8
674	314	83
675	287	39
676	305	138
677	327	128
678	256	21
679	342	145
680	273	72
681	298	105
682	279	66
683	263	81
684	29	4
685	248	72
686	304	141
687	233	97
688	292	92
689	280	98
690	339	77
691	303	97
