id	at_bats	hits
0	6	0
1	319	107
2	179	41
3	450	123
4	305	118
5	358	68
6	445	186
7	427	155
8	417	193
9	421	94
10	185	47
11	248	59
12	4	0
13	279	104
14	238	120
15	341	78
16	10	1
17	384	95
18	286	104
19	163	61
20	394	173
21	225	101
22	317	106
23	381	110
24	193	38
25	194	89
26	150	72
27	391	111
28	336	81
29	445	140
30	437	126
31	162	18
32	450	122
33	9	2
34	450	106
35	307	95
36	196	57
37	272	106
38	378	128
39	150	81
40	16	5
41	227	59
42	301	85
43	150	49
44	150	34
45	13	8
46	347	73
47	450	133
48	9	5
49	225	86
50	211	56
51	289	63
52	150	36
53	15	7
54	301	53
55	272	80
56	372	108
57	17	1
58	380	97
59	5	4
60	250	90
61	150	36
62	204	21
63	224	48
64	251	76
65	264	118
66	375	147
67	298	78
68	450	58
69	294	10
70	230	38
71	372	139
72	450	73
73	305	92
74	4	2
75	286	128
76	198	71
77	150	48
78	4	3
79	287	104
80	150	19
81	301	108
82	169	68
83	425	149
84	404	143
85	220	29
86	11	0
87	440	182
88	304	100
89	408	108
90	243	56
91	8	1
92	292	64
93	14	1
94	411	80
95	8	1
96	234	42
97	355	148
98	391	80
99	7	3
100	150	45
101	150	57
102	297	58
103	450	43
104	397	184
105	311	91
106	450	133
107	246	53
108	330	91
109	261	110
110	450	68
111	401	117
112	450	161
113	12	4
114	287	48
115	150	72
116	191	38
117	155	71
118	11	2
119	335	101
120	7	4
121	450	152
122	183	37
123	288	43
124	218	53
125	199	67
126	150	55
127	393	106
128	450	92
129	327	94
130	370	125
131	12	9
132	2	2
133	163	25
134	264	33
135	390	198
136	200	91
137	443	50
138	150	40
139	204	96
140	20	7
141	7	3
142	450	127
143	245	98
144	336	116
145	190	35
146	150	49
147	450	87
148	403	52
149	5	3
150	345	48
151	339	83
152	258	79
153	376	92
154	431	67
155	0	0
156	246	99
157	221	88
158	339	112
159	167	51
160	343	154
161	396	108
162	435	153
163	2	1
164	450	161
165	11	5
166	231	60
167	326	77
168	208	35
169	10	4
170	150	49
171	308	92
172	356	65
173	295	72
174	450	108
175	202	38
176	9	4
177	150	66
178	15	4
179	351	149
180	379	98
181	338	96
182	16	5
183	175	57
184	372	156
185	2	1
186	294	134
187	150	65
188	166	14
189	378	99
190	325	102
191	380	45
192	450	180
193	6	2
194	150	21
195	180	13
196	263	106
197	450	149
198	199	26
199	297	15
200	236	66
201	440	92
202	150	43
203	389	120
204	381	116
205	347	45
206	368	146
207	350	164
208	150	52
209	450	107
210	305	98
211	14	5
212	259	65
213	332	107
214	150	53
215	4	1
216	189	68
217	8	4
218	450	169
219	209	43
220	386	139
221	238	97
222	281	37
223	379	156
224	450	39
225	440	169
226	343	137
227	4	0
228	349	137
229	150	41
230	211	52
231	172	42
232	150	53
233	308	76
234	307	70
235	169	13
236	241	64
237	351	124
238	450	121
239	237	83
240	150	24
241	319	94
242	184	59
243	450	179
244	450	141
245	450	122
246	11	4
247	409	131
248	150	48
249	11	4
250	227	107
251	412	124
252	305	107
253	450	189
254	450	103
255	11	6
256	450	131
257	372	79
258	261	106
259	154	59
260	10	5
261	10	2
262	16	6
263	15	6
264	450	71
265	1	0
266	346	50
267	450	143
268	316	33
269	4	0
270	172	70
271	450	163
272	450	130
273	12	6
274	338	168
275	150	33
276	13	5
277	314	56
278	5	2
279	165	31
280	10	3
281	8	5
282	8	0
283	291	53
284	351	137
285	238	80
286	12	5
287	18	2
288	150	39
289	361	122
290	17	5
291	402	24
292	150	77
293	321	137
294	278	100
295	150	11
296	150	37
297	246	57
298	353	31
299	11	2
300	354	148
301	240	84
302	150	49
303	356	68
304	150	65
305	190	49
306	236	54
307	299	115
308	21	13
309	12	5
310	450	101
311	10	2
312	344	80
313	305	70
314	11	4
315	228	57
316	357	84
317	404	193
318	429	98
319	11	2
320	150	84
321	9	5
322	195	56
323	17	3
324	341	121
325	249	84
326	211	32
327	160	80
328	4	0
329	410	110
330	152	48
331	185	51
332	236	77
333	424	107
334	156	80
335	257	94
336	1	0
337	265	106
338	8	1
339	415	197
340	281	116
341	450	120
342	231	72
343	14	5
344	11	7
345	7	2
346	184	50
347	197	47
348	16	5
349	230	98
350	17	2
351	334	91
352	294	70
353	260	69
354	159	44
355	1	1
356	271	107
357	12	0
358	353	98
359	270	99
360	10	2
361	381	103
362	15	1
363	8	5
364	244	44
365	342	106
366	150	51
367	303	84
368	425	153
369	187	28
370	396	194
371	293	146
372	8	2
373	150	35
374	18	5
375	15	1
376	196	90
377	259	77
378	256	84
379	13	3
380	8	4
381	360	98
382	423	115
383	450	177
384	16	6
385	150	42
386	450	145
387	363	170
388	267	71
389	7	0
390	421	51
391	360	91
392	8	2
393	231	39
394	150	66
395	166	26
396	450	127
397	302	63
398	237	86
399	266	64
400	190	58
401	450	70
402	450	170
403	227	51
404	394	133
405	14	4
406	450	169
407	150	33
408	320	180
409	407	169
410	343	61
411	177	48
412	226	69
413	182	63
414	159	56
415	267	114
416	390	108
417	187	60
418	358	79
419	439	92
420	162	65
421	380	173
422	6	0
423	7	1
424	13	7
425	266	68
426	319	73
427	413	131
428	11	0
429	247	86
430	150	54
431	150	54
432	450	153
433	165	51
434	150	18
435	25	9
436	396	122
437	450	150
438	2	1
439	253	108
440	450	110
441	5	3
442	16	1
443	275	117
444	450	105
445	310	88
446	215	32
447	170	65
448	368	67
449	450	137
450	157	47
451	422	149
452	375	120
453	9	3
454	379	211
455	351	160
456	19	6
457	365	107
458	13	2
459	369	55
460	268	86
461	450	91
462	445	231
463	265	57
464	215	40
465	393	127
466	450	110
467	239	72
468	256	82
469	150	40
470	312	70
471	368	103
472	297	83
473	13	5
474	238	72
475	311	70
476	252	52
477	437	184
478	242	66
479	0	0
480	331	20
481	205	31
482	450	158
483	6	2
484	9	4
485	263	29
486	346	125
487	9	3
488	255	88
489	450	48
490	450	164
491	150	75
492	8	3
493	367	137
494	406	17
495	150	52
496	450	109
497	150	57
498	9	2
499	189	62
500	330	45
501	450	144
502	264	58
503	150	16
504	150	65
505	269	22
506	150	53
507	273	32
508	150	27
509	323	63
510	450	159
511	18	6
512	229	114
513	18	5
514	358	79
515	227	51
516	14	4
517	450	114
518	150	14
519	393	116
520	11	2
521	323	92
522	388	103
523	397	97
524	264	91
525	239	32
526	193	37
527	362	144
528	450	139
529	8	3
530	210	45
531	404	147
532	450	214
533	10	2
534	166	14
535	333	126
536	150	53
537	167	31
538	150	51
539	10	2
540	150	34
541	279	46
542	445	69
543	304	132
544	441	205
545	450	95
546	437	68
547	10	4
548	213	69
549	283	82
550	237	55
551	13	2
552	14	4
553	382	137
554	7	0
555	429	134
556	241	70
557	303	58
558	278	109
559	260	81
560	11	5
561	341	104
562	187	59
563	21	3
564	12	5
565	320	75
566	14	7
567	302	80
568	150	22
569	320	87
570	231	80
571	212	111
572	450	150
573	429	148
574	310	132
575	411	101
576	409	70
577	450	13
578	12	6
579	212	69
580	349	118
581	230	50
582	224	73
583	14	4
584	150	44
585	286	75
586	299	59
587	150	60
588	261	77
589	450	222
590	298	95
591	166	29
592	361	72
593	10	2
594	411	74
595	150	43
596	336	85
597	6	0
598	162	51
599	12	3
600	450	181
601	150	50
602	450	101
603	2	0
604	209	76
605	224	76
606	363	118
607	150	54
608	221	36
609	379	215
610	150	15
611	262	64
612	450	133
613	150	54
614	264	76
615	15	5
616	150	59
617	441	189
618	402	106
619	1	0
620	205	44
621	242	55
622	209	59
623	343	21
624	256	94
625	152	45
626	412	108
627	7	4
628	8	4
629	242	54
630	296	117
631	13	1
632	14	5
633	0	0
634	450	121
635	250	36
636	341	71
637	150	41
638	9	1
639	229	49
640	368	77
641	450	93
642	314	79
643	150	55
644	450	136
645	161	48
646	150	32
647	379	130
648	12	1
649	236	93
650	303	49
651	337	122
652	151	34
653	7	2
654	450	46
655	398	78
656	258	69
657	450	199
658	11	6
659	150	55
660	188	82
661	150	51
662	418	90
663	450	131
664	321	109
665	302	132
666	276	35
667	430	122
668	438	162
669	150	37
670	221	81
671	13	9
672	450	167
673	367	127
674	334	107
675	450	87
676	7	5
677	316	147
678	150	10
679	168	67
680	428	116
681	0	0
682	416	99
683	19	8
684	10	1
685	450	130
686	150	74
687	7	1
688	235	64
689	150	67
690	150	26
691	3	2
692	357	95
693	305	81
694	166	55
695	150	25
696	450	99
