id	at_bats	hits
0	6	1
1	4	0
2	9	3
3	7	1
4	10	3
5	7	2
6	3	2
7	3	2
8	5	2
9	7	2
10	4	0
11	8	2
12	3	1
13	4	1
14	2	1
15	0	0
16	1	1
17	6	2
18	3	2
19	9	7
20	10	5
21	0	0
22	6	0
23	7	2
24	6	1
25	1	1
26	2	0
27	4	2
28	8	0
29	1	1
30	1	1
31	2	0
32	2	1
33	4	0
34	10	3
35	2	0
36	4	2
37	4	2
38	5	1
39	2	1
40	2	2
41	5	0
42	6	2
43	4	2
44	8	2
45	6	1
46	7	1
47	3	0
48	3	1
49	5	3
50	0	0
51	5	2
52	3	0
53	2	0
54	0	0
55	6	2
56	3	0
57	3	0
58	4	2
59	1	0
60	7	2
61	6	2
62	9	2
63	0	0
64	1	0
65	11	7
66	7	2
67	8	1
68	1	0
69	2	0
70	4	1
71	3	1
72	10	0
73	4	1
74	4	3
75	7	4
76	2	1
77	5	2
78	0	0
79	5	1
80	3	1
81	8	5
82	3	2
83	7	2
84	7	1
85	2	0
86	1	0
87	3	2
88	7	1
89	5	2
90	4	1
91	0	0
92	4	0
93	4	0
94	2	0
95	10	2
96	5	1
97	7	4
98	5	2
99	5	2
100	7	3
101	1	0
102	6	2
103	5	0
104	7	3
105	0	0
106	7	2
107	3	1
108	0	0
109	10	3
110	10	3
111	7	2
112	9	5
113	8	6
114	6	0
115	0	0
116	2	0
117	1	1
118	2	1
119	5	3
120	3	1
121	3	1
122	1	0
123	3	1
124	1	0
125	5	1
126	3	1
127	0	0
128	8	4
129	4	0
130	4	1
131	8	3
132	8	2
133	4	2
134	4	0
135	1	1
136	5	2
137	2	1
138	1	1
139	10	5
140	0	0
141	4	3
142	2	1
143	8	4
144	6	0
145	4	0
146	3	1
147	7	0
148	11	1
149	5	2
150	4	1
151	4	2
152	0	0
153	0	0
154	3	0
155	5	2
156	6	2
157	2	0
158	5	1
159	3	0
160	5	2
161	1	1
162	6	3
163	0	0
164	5	2
165	0	0
166	6	2
167	8	2
168	4	2
169	7	2
170	0	0
171	2	1
172	7	2
173	1	0
174	2	0
175	0	0
176	0	0
177	3	1
178	3	0
179	9	4
180	9	2
181	1	0
182	2	1
183	5	1
184	7	4
185	2	0
186	5	1
187	1	0
188	3	0
189	1	1
190	0	0
191	6	0
192	4	0
193	8	5
194	7	1
195	3	0
196	6	2
197	8	1
198	9	2
199	0	0
200	8	1
201	4	2
202	9	4
203	2	1
204	4	0
205	5	0
206	6	3
207	7	3
208	2	1
209	1	0
210	9	2
211	12	2
212	4	3
213	2	0
214	9	1
215	7	3
216	5	3
217	7	3
218	4	3
219	0	0
220	7	3
221	5	2
222	4	1
223	4	2
224	6	0
225	8	4
226	0	0
227	4	0
228	4	1
229	3	0
230	2	0
231	5	2
232	7	3
233	5	2
234	6	2
235	3	1
236	5	1
237	3	2
238	2	0
239	10	3
240	6	2
241	4	1
242	2	0
243	2	1
244	5	3
245	3	1
246	2	0
247	11	3
248	1	0
249	3	3
250	2	2
251	5	2
252	8	3
253	0	0
254	3	1
255	4	1
256	7	1
257	9	0
258	0	0
259	13	4
260	0	0
261	8	2
262	0	0
263	6	2
264	8	0
265	5	0
266	8	1
267	3	1
268	0	0
269	3	2
270	5	2
271	8	2
272	6	2
273	0	0
274	4	0
275	0	0
276	5	1
277	0	0
278	4	1
279	8	0
280	5	1
281	0	0
282	2	0
283	6	2
284	3	0
285	5	1
286	5	2
287	11	2
288	3	1
289	6	0
290	8	3
291	7	0
292	1	1
293	5	1
294	2	0
295	2	0
296	11	5
297	0	0
298	0	0
299	5	3
300	5	2
301	8	0
302	0	0
303	4	1
304	13	7
305	6	2
306	2	0
307	0	0
308	7	2
309	3	1
310	1	0
311	5	3
312	3	2
313	0	0
314	6	2
315	2	1
316	10	2
317	0	0
318	5	1
319	4	1
320	5	2
321	10	4
322	4	2
323	6	0
324	0	0
325	4	2
326	2	0
327	2	0
328	7	0
329	6	1
330	4	2
331	8	3
332	6	2
333	7	2
334	2	2
335	3	1
336	5	2
337	3	1
338	5	2
339	4	3
340	3	0
341	0	0
342	2	1
343	5	1
344	5	1
345	4	1
346	0	0
347	5	1
348	8	1
349	10	4
350	11	3
351	3	1
352	6	2
353	12	4
354	0	0
355	6	3
356	7	2
357	5	0
358	7	0
359	6	2
360	3	0
361	4	1
362	0	0
363	2	1
364	4	0
365	6	2
366	6	2
367	6	0
368	9	5
369	2	0
370	4	3
371	5	2
372	0	0
373	2	0
374	7	1
375	2	1
376	3	2
377	8	2
378	3	1
379	5	2
380	6	3
381	5	5
382	5	2
383	1	0
384	9	1
385	6	2
386	4	1
387	3	2
